material_id,formula,partner,partner_type,partner_work_function_eV,vbm_eV,cbm_eV,contact_class,loc_ooc_score_robust_min,baseline_score_v3
mp-569309,RbMnCl3,Ti,contact,4.3,,,unknown (missing band edges),9.040711326180577e-08,0.8285647548193819
mp-569309,RbMnCl3,hBN,dielectric,,,,,9.040711326180577e-08,0.8285647548193819
mp-569309,RbMnCl3,Al2O3,dielectric,,,,,9.040711326180577e-08,0.8285647548193819
mp-569309,RbMnCl3,HfO2,dielectric,,,,,9.040711326180577e-08,0.8285647548193819
mp-28328,RbI3,graphene,contact,4.6,,,unknown (missing band edges),8.788592021495327e-08,0.8297961529042935
mp-28328,RbI3,Au,contact,5.1,,,unknown (missing band edges),8.788592021495327e-08,0.8297961529042935
mp-28328,RbI3,Ti,contact,4.3,,,unknown (missing band edges),8.788592021495327e-08,0.8297961529042935
mp-28328,RbI3,hBN,dielectric,,,,,8.788592021495327e-08,0.8297961529042935
mp-28328,RbI3,Al2O3,dielectric,,,,,8.788592021495327e-08,0.8297961529042935
mp-28328,RbI3,HfO2,dielectric,,,,,8.788592021495327e-08,0.8297961529042935
mp-1103889,Eu(AlS2)2,graphene,contact,4.6,,,unknown (missing band edges),8.703923586798078e-08,0.8123851404529581
mp-1103889,Eu(AlS2)2,Au,contact,5.1,,,unknown (missing band edges),8.703923586798078e-08,0.8123851404529581
mp-1103889,Eu(AlS2)2,Ti,contact,4.3,,,unknown (missing band edges),8.703923586798078e-08,0.8123851404529581
mp-1103889,Eu(AlS2)2,hBN,dielectric,,,,,8.703923586798078e-08,0.8123851404529581
mp-1103889,Eu(AlS2)2,Al2O3,dielectric,,,,,8.703923586798078e-08,0.8123851404529581
mp-1103889,Eu(AlS2)2,HfO2,dielectric,,,,,8.703923586798078e-08,0.8123851404529581
mp-573763,Cs2Te,graphene,contact,4.6,,,unknown (missing band edges),8.639051659760223e-08,0.8169313315773099
mp-573763,Cs2Te,Au,contact,5.1,,,unknown (missing band edges),8.639051659760223e-08,0.8169313315773099
mp-573763,Cs2Te,Ti,contact,4.3,,,unknown (missing band edges),8.639051659760223e-08,0.8169313315773099
mp-573763,Cs2Te,hBN,dielectric,,,,,8.639051659760223e-08,0.8169313315773099
mp-573763,Cs2Te,Al2O3,dielectric,,,,,8.639051659760223e-08,0.8169313315773099
mp-573763,Cs2Te,HfO2,dielectric,,,,,8.639051659760223e-08,0.8169313315773099
mp-22876,CsI3,graphene,contact,4.6,,,unknown (missing band edges),8.61926890989417e-08,0.8250816483073278
mp-22876,CsI3,Au,contact,5.1,,,unknown (missing band edges),8.61926890989417e-08,0.8250816483073278
mp-22876,CsI3,Ti,contact,4.3,,,unknown (missing band edges),8.61926890989417e-08,0.8250816483073278
mp-22876,CsI3,hBN,dielectric,,,,,8.61926890989417e-08,0.8250816483073278
mp-22876,CsI3,Al2O3,dielectric,,,,,8.61926890989417e-08,0.8250816483073278
mp-22876,CsI3,HfO2,dielectric,,,,,8.61926890989417e-08,0.8250816483073278
mp-9843,Sr3(AlP2)2,graphene,contact,4.6,,,unknown (missing band edges),8.554273852462034e-08,0.8138436369515006
mp-9843,Sr3(AlP2)2,Au,contact,5.1,,,unknown (missing band edges),8.554273852462034e-08,0.8138436369515006
mp-9843,Sr3(AlP2)2,Ti,contact,4.3,,,unknown (missing band edges),8.554273852462034e-08,0.8138436369515006
mp-9843,Sr3(AlP2)2,hBN,dielectric,,,,,8.554273852462034e-08,0.8138436369515006
mp-9843,Sr3(AlP2)2,Al2O3,dielectric,,,,,8.554273852462034e-08,0.8138436369515006
mp-9843,Sr3(AlP2)2,HfO2,dielectric,,,,,8.554273852462034e-08,0.8138436369515006
mp-19795,InS,graphene,contact,4.6,,,unknown (missing band edges),8.447231159800765e-08,0.8173771627617685
mp-19795,InS,Au,contact,5.1,,,unknown (missing band edges),8.447231159800765e-08,0.8173771627617685
mp-19795,InS,Ti,contact,4.3,,,unknown (missing band edges),8.447231159800765e-08,0.8173771627617685
mp-19795,InS,hBN,dielectric,,,,,8.447231159800765e-08,0.8173771627617685
mp-19795,InS,Al2O3,dielectric,,,,,8.447231159800765e-08,0.8173771627617685
mp-19795,InS,HfO2,dielectric,,,,,8.447231159800765e-08,0.8173771627617685
mp-27138,K2PdBr4,graphene,contact,4.6,,,unknown (missing band edges),8.443581814299924e-08,0.8189750942100096
mp-27138,K2PdBr4,Au,contact,5.1,,,unknown (missing band edges),8.443581814299924e-08,0.8189750942100096
mp-27138,K2PdBr4,Ti,contact,4.3,,,unknown (missing band edges),8.443581814299924e-08,0.8189750942100096
mp-27138,K2PdBr4,hBN,dielectric,,,,,8.443581814299924e-08,0.8189750942100096
mp-27138,K2PdBr4,Al2O3,dielectric,,,,,8.443581814299924e-08,0.8189750942100096
mp-27138,K2PdBr4,HfO2,dielectric,,,,,8.443581814299924e-08,0.8189750942100096
mp-1209449,Rb3LuCl6,graphene,contact,4.6,,,unknown (missing band edges),8.348293578454994e-08,0.8488520782621394
mp-1209449,Rb3LuCl6,Au,contact,5.1,,,unknown (missing band edges),8.348293578454994e-08,0.8488520782621394
mp-1209449,Rb3LuCl6,Ti,contact,4.3,,,unknown (missing band edges),8.348293578454994e-08,0.8488520782621394
mp-1209449,Rb3LuCl6,hBN,dielectric,,,,,8.348293578454994e-08,0.8488520782621394
mp-1209449,Rb3LuCl6,Al2O3,dielectric,,,,,8.348293578454994e-08,0.8488520782621394
mp-1209449,Rb3LuCl6,HfO2,dielectric,,,,,8.348293578454994e-08,0.8488520782621394
mp-18612,Rb2MoS4,graphene,contact,4.6,,,unknown (missing band edges),8.328383068024592e-08,0.8143006692273538
mp-18612,Rb2MoS4,Au,contact,5.1,,,unknown (missing band edges),8.328383068024592e-08,0.8143006692273538
mp-18612,Rb2MoS4,Ti,contact,4.3,,,unknown (missing band edges),8.328383068024592e-08,0.8143006692273538
mp-18612,Rb2MoS4,hBN,dielectric,,,,,8.328383068024592e-08,0.8143006692273538
mp-18612,Rb2MoS4,Al2O3,dielectric,,,,,8.328383068024592e-08,0.8143006692273538
mp-18612,Rb2MoS4,HfO2,dielectric,,,,,8.328383068024592e-08,0.8143006692273538
mp-17678,Sr(ScS2)2,graphene,contact,4.6,,,unknown (missing band edges),8.301041861461652e-08,0.8613494346263261
mp-17678,Sr(ScS2)2,Au,contact,5.1,,,unknown (missing band edges),8.301041861461652e-08,0.8613494346263261
mp-17678,Sr(ScS2)2,Ti,contact,4.3,,,unknown (missing band edges),8.301041861461652e-08,0.8613494346263261
mp-17678,Sr(ScS2)2,hBN,dielectric,,,,,8.301041861461652e-08,0.8613494346263261
mp-17678,Sr(ScS2)2,Al2O3,dielectric,,,,,8.301041861461652e-08,0.8613494346263261
mp-17678,Sr(ScS2)2,HfO2,dielectric,,,,,8.301041861461652e-08,0.8613494346263261
mp-8965,K2Sn2S5,graphene,contact,4.6,,,unknown (missing band edges),8.280432460466629e-08,0.8150123954323172
mp-8965,K2Sn2S5,Au,contact,5.1,,,unknown (missing band edges),8.280432460466629e-08,0.8150123954323172
mp-8965,K2Sn2S5,Ti,contact,4.3,,,unknown (missing band edges),8.280432460466629e-08,0.8150123954323172
mp-8965,K2Sn2S5,hBN,dielectric,,,,,8.280432460466629e-08,0.8150123954323172
mp-8965,K2Sn2S5,Al2O3,dielectric,,,,,8.280432460466629e-08,0.8150123954323172
mp-8965,K2Sn2S5,HfO2,dielectric,,,,,8.280432460466629e-08,0.8150123954323172
mp-1211440,K2PbCl6,graphene,contact,4.6,,,unknown (missing band edges),8.087894005277407e-08,0.8354006304971198
mp-1211440,K2PbCl6,Au,contact,5.1,,,unknown (missing band edges),8.087894005277407e-08,0.8354006304971198
mp-1211440,K2PbCl6,Ti,contact,4.3,,,unknown (missing band edges),8.087894005277407e-08,0.8354006304971198
mp-1211440,K2PbCl6,hBN,dielectric,,,,,8.087894005277407e-08,0.8354006304971198
mp-1211440,K2PbCl6,Al2O3,dielectric,,,,,8.087894005277407e-08,0.8354006304971198
mp-1211440,K2PbCl6,HfO2,dielectric,,,,,8.087894005277407e-08,0.8354006304971198
mp-27181,KAuCl4,graphene,contact,4.6,,,unknown (missing band edges),7.972639785252612e-08,0.8235960451281793
mp-27181,KAuCl4,Au,contact,5.1,,,unknown (missing band edges),7.972639785252612e-08,0.8235960451281793
mp-27181,KAuCl4,Ti,contact,4.3,,,unknown (missing band edges),7.972639785252612e-08,0.8235960451281793
mp-27181,KAuCl4,hBN,dielectric,,,,,7.972639785252612e-08,0.8235960451281793
mp-27181,KAuCl4,Al2O3,dielectric,,,,,7.972639785252612e-08,0.8235960451281793
mp-27181,KAuCl4,HfO2,dielectric,,,,,7.972639785252612e-08,0.8235960451281793
mp-1102093,EuI2,graphene,contact,4.6,,,unknown (missing band edges),7.93711584065807e-08,0.8700647790744307
mp-1102093,EuI2,Au,contact,5.1,,,unknown (missing band edges),7.93711584065807e-08,0.8700647790744307
mp-1102093,EuI2,Ti,contact,4.3,,,unknown (missing band edges),7.93711584065807e-08,0.8700647790744307
mp-1102093,EuI2,hBN,dielectric,,,,,7.93711584065807e-08,0.8700647790744307
mp-1102093,EuI2,Al2O3,dielectric,,,,,7.93711584065807e-08,0.8700647790744307
mp-1102093,EuI2,HfO2,dielectric,,,,,7.93711584065807e-08,0.8700647790744307
mp-1025201,Rb2PdCl4,graphene,contact,4.6,,,unknown (missing band edges),7.780000210219888e-08,0.8424937778942369
mp-1025201,Rb2PdCl4,Au,contact,5.1,,,unknown (missing band edges),7.780000210219888e-08,0.8424937778942369
mp-1025201,Rb2PdCl4,Ti,contact,4.3,,,unknown (missing band edges),7.780000210219888e-08,0.8424937778942369
mp-1025201,Rb2PdCl4,hBN,dielectric,,,,,7.780000210219888e-08,0.8424937778942369
mp-1025201,Rb2PdCl4,Al2O3,dielectric,,,,,7.780000210219888e-08,0.8424937778942369
mp-1025201,Rb2PdCl4,HfO2,dielectric,,,,,7.780000210219888e-08,0.8424937778942369
mp-1211293,La(YS2)3,graphene,contact,4.6,,,unknown (missing band edges),7.58864708744434e-08,0.8178635694573559
mp-1211293,La(YS2)3,Au,contact,5.1,,,unknown (missing band edges),7.58864708744434e-08,0.8178635694573559
mp-1211293,La(YS2)3,Ti,contact,4.3,,,unknown (missing band edges),7.58864708744434e-08,0.8178635694573559
mp-1211293,La(YS2)3,hBN,dielectric,,,,,7.58864708744434e-08,0.8178635694573559
mp-1211293,La(YS2)3,Al2O3,dielectric,,,,,7.58864708744434e-08,0.8178635694573559
mp-1211293,La(YS2)3,HfO2,dielectric,,,,,7.58864708744434e-08,0.8178635694573559
mp-558121,K4Ba(VS4)2,graphene,contact,4.6,,,unknown (missing band edges),7.522635427757e-08,0.8148744060969376
mp-558121,K4Ba(VS4)2,Au,contact,5.1,,,unknown (missing band edges),7.522635427757e-08,0.8148744060969376
mp-558121,K4Ba(VS4)2,Ti,contact,4.3,,,unknown (missing band edges),7.522635427757e-08,0.8148744060969376
mp-558121,K4Ba(VS4)2,hBN,dielectric,,,,,7.522635427757e-08,0.8148744060969376
mp-558121,K4Ba(VS4)2,Al2O3,dielectric,,,,,7.522635427757e-08,0.8148744060969376
mp-558121,K4Ba(VS4)2,HfO2,dielectric,,,,,7.522635427757e-08,0.8148744060969376
mp-18642,Ca(YS2)2,graphene,contact,4.6,,,unknown (missing band edges),7.435653137686894e-08,0.8765165780431855
mp-18642,Ca(YS2)2,Au,contact,5.1,,,unknown (missing band edges),7.435653137686894e-08,0.8765165780431855
mp-18642,Ca(YS2)2,Ti,contact,4.3,,,unknown (missing band edges),7.435653137686894e-08,0.8765165780431855
mp-18642,Ca(YS2)2,hBN,dielectric,,,,,7.435653137686894e-08,0.8765165780431855
mp-18642,Ca(YS2)2,Al2O3,dielectric,,,,,7.435653137686894e-08,0.8765165780431855
mp-18642,Ca(YS2)2,HfO2,dielectric,,,,,7.435653137686894e-08,0.8765165780431855
mp-568986,KAuCl4,graphene,contact,4.6,,,unknown (missing band edges),7.329798458437214e-08,0.8220877716694023
mp-568986,KAuCl4,Au,contact,5.1,,,unknown (missing band edges),7.329798458437214e-08,0.8220877716694023
mp-568986,KAuCl4,Ti,contact,4.3,,,unknown (missing band edges),7.329798458437214e-08,0.8220877716694023
mp-568986,KAuCl4,hBN,dielectric,,,,,7.329798458437214e-08,0.8220877716694023
mp-568986,KAuCl4,Al2O3,dielectric,,,,,7.329798458437214e-08,0.8220877716694023
mp-568986,KAuCl4,HfO2,dielectric,,,,,7.329798458437214e-08,0.8220877716694023
mp-1223847,K2PdBrCl3,graphene,contact,4.6,,,unknown (missing band edges),7.179879170818487e-08,0.8396103668798625
mp-1223847,K2PdBrCl3,Au,contact,5.1,,,unknown (missing band edges),7.179879170818487e-08,0.8396103668798625
mp-1223847,K2PdBrCl3,Ti,contact,4.3,,,unknown (missing band edges),7.179879170818487e-08,0.8396103668798625
mp-1223847,K2PdBrCl3,hBN,dielectric,,,,,7.179879170818487e-08,0.8396103668798625
mp-1223847,K2PdBrCl3,Al2O3,dielectric,,,,,7.179879170818487e-08,0.8396103668798625
mp-1223847,K2PdBrCl3,HfO2,dielectric,,,,,7.179879170818487e-08,0.8396103668798625
mp-1078085,Cs2PdCl4,graphene,contact,4.6,,,unknown (missing band edges),7.083728457958093e-08,0.812330136375209
mp-1078085,Cs2PdCl4,Au,contact,5.1,,,unknown (missing band edges),7.083728457958093e-08,0.812330136375209
mp-1078085,Cs2PdCl4,Ti,contact,4.3,,,unknown (missing band edges),7.083728457958093e-08,0.812330136375209
mp-1078085,Cs2PdCl4,hBN,dielectric,,,,,7.083728457958093e-08,0.812330136375209
mp-1078085,Cs2PdCl4,Al2O3,dielectric,,,,,7.083728457958093e-08,0.812330136375209
mp-1078085,Cs2PdCl4,HfO2,dielectric,,,,,7.083728457958093e-08,0.812330136375209
mp-22934,K2PtCl4,graphene,contact,4.6,,,unknown (missing band edges),6.838471390268017e-08,0.8140850587268402
mp-22934,K2PtCl4,Au,contact,5.1,,,unknown (missing band edges),6.838471390268017e-08,0.8140850587268402
mp-22934,K2PtCl4,Ti,contact,4.3,,,unknown (missing band edges),6.838471390268017e-08,0.8140850587268402
mp-22934,K2PtCl4,hBN,dielectric,,,,,6.838471390268017e-08,0.8140850587268402
mp-22934,K2PtCl4,Al2O3,dielectric,,,,,6.838471390268017e-08,0.8140850587268402
mp-22934,K2PtCl4,HfO2,dielectric,,,,,6.838471390268017e-08,0.8140850587268402
mp-574040,K2SnBr6,graphene,contact,4.6,,,unknown (missing band edges),6.733510580261164e-08,0.8398964193661875
mp-574040,K2SnBr6,Au,contact,5.1,,,unknown (missing band edges),6.733510580261164e-08,0.8398964193661875
mp-574040,K2SnBr6,Ti,contact,4.3,,,unknown (missing band edges),6.733510580261164e-08,0.8398964193661875
mp-574040,K2SnBr6,hBN,dielectric,,,,,6.733510580261164e-08,0.8398964193661875
mp-574040,K2SnBr6,Al2O3,dielectric,,,,,6.733510580261164e-08,0.8398964193661875
mp-574040,K2SnBr6,HfO2,dielectric,,,,,6.733510580261164e-08,0.8398964193661875
mp-1079673,ThSe3,graphene,contact,4.6,,,unknown (missing band edges),6.659950854692134e-08,0.851026764963787
mp-1079673,ThSe3,Au,contact,5.1,,,unknown (missing band edges),6.659950854692134e-08,0.851026764963787
mp-1079673,ThSe3,Ti,contact,4.3,,,unknown (missing band edges),6.659950854692134e-08,0.851026764963787
mp-1079673,ThSe3,hBN,dielectric,,,,,6.659950854692134e-08,0.851026764963787
mp-1079673,ThSe3,Al2O3,dielectric,,,,,6.659950854692134e-08,0.851026764963787
mp-1079673,ThSe3,HfO2,dielectric,,,,,6.659950854692134e-08,0.851026764963787
mp-1173753,Na2Ga2Se3,graphene,contact,4.6,,,unknown (missing band edges),6.630241681324072e-08,0.8169624404525199
mp-1173753,Na2Ga2Se3,Au,contact,5.1,,,unknown (missing band edges),6.630241681324072e-08,0.8169624404525199
mp-1173753,Na2Ga2Se3,Ti,contact,4.3,,,unknown (missing band edges),6.630241681324072e-08,0.8169624404525199
mp-1173753,Na2Ga2Se3,hBN,dielectric,,,,,6.630241681324072e-08,0.8169624404525199
mp-1173753,Na2Ga2Se3,Al2O3,dielectric,,,,,6.630241681324072e-08,0.8169624404525199
mp-1173753,Na2Ga2Se3,HfO2,dielectric,,,,,6.630241681324072e-08,0.8169624404525199
mp-1146,ThS2,graphene,contact,4.6,,,unknown (missing band edges),6.624905853193497e-08,0.8178994374457851
mp-1146,ThS2,Au,contact,5.1,,,unknown (missing band edges),6.624905853193497e-08,0.8178994374457851
mp-1146,ThS2,Ti,contact,4.3,,,unknown (missing band edges),6.624905853193497e-08,0.8178994374457851
mp-1146,ThS2,hBN,dielectric,,,,,6.624905853193497e-08,0.8178994374457851
mp-1146,ThS2,Al2O3,dielectric,,,,,6.624905853193497e-08,0.8178994374457851
mp-1146,ThS2,HfO2,dielectric,,,,,6.624905853193497e-08,0.8178994374457851
mp-1223861,K2PdBr3Cl,graphene,contact,4.6,,,unknown (missing band edges),6.609522334870795e-08,0.8214760052833919
mp-1223861,K2PdBr3Cl,Au,contact,5.1,,,unknown (missing band edges),6.609522334870795e-08,0.8214760052833919
mp-1223861,K2PdBr3Cl,Ti,contact,4.3,,,unknown (missing band edges),6.609522334870795e-08,0.8214760052833919
mp-1223861,K2PdBr3Cl,hBN,dielectric,,,,,6.609522334870795e-08,0.8214760052833919
mp-1223861,K2PdBr3Cl,Al2O3,dielectric,,,,,6.609522334870795e-08,0.8214760052833919
mp-1223861,K2PdBr3Cl,HfO2,dielectric,,,,,6.609522334870795e-08,0.8214760052833919
mp-1079264,Nb(SBr)2,graphene,contact,4.6,,,unknown (missing band edges),6.605875601261429e-08,0.8329296821564746
mp-1079264,Nb(SBr)2,Au,contact,5.1,,,unknown (missing band edges),6.605875601261429e-08,0.8329296821564746
mp-1079264,Nb(SBr)2,Ti,contact,4.3,,,unknown (missing band edges),6.605875601261429e-08,0.8329296821564746
mp-1079264,Nb(SBr)2,hBN,dielectric,,,,,6.605875601261429e-08,0.8329296821564746
mp-1079264,Nb(SBr)2,Al2O3,dielectric,,,,,6.605875601261429e-08,0.8329296821564746
mp-1079264,Nb(SBr)2,HfO2,dielectric,,,,,6.605875601261429e-08,0.8329296821564746
mp-1095291,Li2SnSe3,graphene,contact,4.6,,,unknown (missing band edges),6.599720210432482e-08,0.8287220737092951
mp-1095291,Li2SnSe3,Au,contact,5.1,,,unknown (missing band edges),6.599720210432482e-08,0.8287220737092951
mp-1095291,Li2SnSe3,Ti,contact,4.3,,,unknown (missing band edges),6.599720210432482e-08,0.8287220737092951
mp-1095291,Li2SnSe3,hBN,dielectric,,,,,6.599720210432482e-08,0.8287220737092951
mp-1095291,Li2SnSe3,Al2O3,dielectric,,,,,6.599720210432482e-08,0.8287220737092951
mp-1095291,Li2SnSe3,HfO2,dielectric,,,,,6.599720210432482e-08,0.8287220737092951
mp-878,Ho2S3,graphene,contact,4.6,,,unknown (missing band edges),6.565558489886917e-08,0.8853701095501049
mp-878,Ho2S3,Au,contact,5.1,,,unknown (missing band edges),6.565558489886917e-08,0.8853701095501049
mp-878,Ho2S3,Ti,contact,4.3,,,unknown (missing band edges),6.565558489886917e-08,0.8853701095501049
mp-878,Ho2S3,hBN,dielectric,,,,,6.565558489886917e-08,0.8853701095501049
mp-878,Ho2S3,Al2O3,dielectric,,,,,6.565558489886917e-08,0.8853701095501049
mp-878,Ho2S3,HfO2,dielectric,,,,,6.565558489886917e-08,0.8853701095501049
mp-7219,Na2ZrSe3,graphene,contact,4.6,,,unknown (missing band edges),6.486049450588164e-08,0.8389196582638127
mp-7219,Na2ZrSe3,Au,contact,5.1,,,unknown (missing band edges),6.486049450588164e-08,0.8389196582638127
mp-7219,Na2ZrSe3,Ti,contact,4.3,,,unknown (missing band edges),6.486049450588164e-08,0.8389196582638127
mp-7219,Na2ZrSe3,hBN,dielectric,,,,,6.486049450588164e-08,0.8389196582638127
mp-7219,Na2ZrSe3,Al2O3,dielectric,,,,,6.486049450588164e-08,0.8389196582638127
mp-7219,Na2ZrSe3,HfO2,dielectric,,,,,6.486049450588164e-08,0.8389196582638127
mp-29084,Ba2GdCl7,graphene,contact,4.6,,,unknown (missing band edges),6.46682485598556e-08,0.8836316165645112
mp-29084,Ba2GdCl7,Au,contact,5.1,,,unknown (missing band edges),6.46682485598556e-08,0.8836316165645112
mp-29084,Ba2GdCl7,Ti,contact,4.3,,,unknown (missing band edges),6.46682485598556e-08,0.8836316165645112
mp-29084,Ba2GdCl7,hBN,dielectric,,,,,6.46682485598556e-08,0.8836316165645112
mp-29084,Ba2GdCl7,Al2O3,dielectric,,,,,6.46682485598556e-08,0.8836316165645112
mp-29084,Ba2GdCl7,HfO2,dielectric,,,,,6.46682485598556e-08,0.8836316165645112
mp-27243,K2PtBr4,graphene,contact,4.6,,,unknown (missing band edges),6.394468133374856e-08,0.8158543993801805
mp-27243,K2PtBr4,Au,contact,5.1,,,unknown (missing band edges),6.394468133374856e-08,0.8158543993801805
mp-27243,K2PtBr4,Ti,contact,4.3,,,unknown (missing band edges),6.394468133374856e-08,0.8158543993801805
mp-27243,K2PtBr4,hBN,dielectric,,,,,6.394468133374856e-08,0.8158543993801805
mp-27243,K2PtBr4,Al2O3,dielectric,,,,,6.394468133374856e-08,0.8158543993801805
